PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;350381001508;us-east-1;2026-08-01 19:04:21.788096;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;aws;;FAIL;Multiregion trail research-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:us-east-1:350381001508:trail/research-trail;cloudtrail_cloudwatch_logging_enabled;False;research-trail;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
aws;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;350381001508;us-east-1;2026-08-01 19:04:21.788096;annex_i_1_3;Appropriately manage and provide protection within and outside UCB/network, keeping in mind how the data/information is stored, transmitted, processed, accessed and put to use within/outside the UCB’s network, and level of risk they are exposed to depending on the sensitivity of the data/information.;;;;aws;;FAIL;Multiregion trail research-trail has encryption disabled.;arn:aws:cloudtrail:us-east-1:350381001508:trail/research-trail;cloudtrail_kms_encryption_enabled;False;research-trail;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
aws;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;350381001508;ap-northeast-1;2026-08-01 19:04:21.788096;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;aws;;PASS;Trail research-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:350381001508:trail/research-trail;cloudtrail_multi_region_enabled;False;research-trail;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
aws;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;350381001508;ap-northeast-2;2026-08-01 19:04:21.788096;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;aws;;PASS;Trail research-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:350381001508:trail/research-trail;cloudtrail_multi_region_enabled;False;research-trail;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
aws;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;350381001508;ap-northeast-3;2026-08-01 19:04:21.788096;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;aws;;PASS;Trail research-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:350381001508:trail/research-trail;cloudtrail_multi_region_enabled;False;research-trail;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
aws;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;350381001508;ap-south-1;2026-08-01 19:04:21.788096;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;aws;;PASS;Trail research-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:350381001508:trail/research-trail;cloudtrail_multi_region_enabled;False;research-trail;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
aws;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;350381001508;ap-southeast-1;2026-08-01 19:04:21.788096;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;aws;;PASS;Trail research-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:350381001508:trail/research-trail;cloudtrail_multi_region_enabled;False;research-trail;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
aws;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;350381001508;ap-southeast-2;2026-08-01 19:04:21.788096;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;aws;;PASS;Trail research-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:350381001508:trail/research-trail;cloudtrail_multi_region_enabled;False;research-trail;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
aws;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;350381001508;ca-central-1;2026-08-01 19:04:21.788096;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;aws;;PASS;Trail research-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:350381001508:trail/research-trail;cloudtrail_multi_region_enabled;False;research-trail;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
aws;The Reserve Bank had prescribed a set of baseline cyber security controls for primary (Urban) cooperative banks (UCBs) in October 2018. On further examination, it has been decided to prescribe a comprehensive cyber security framework for the UCBs, as a graded approach, based on their digital depth and interconnectedness with the payment systems landscape, digital products offered by them and assessment of cyber security risk. The framework would mandate implementation of progressively stronger security measures based on the nature, variety and scale of digital product offerings of banks.;350381001508;eu-central-1;2026-08-01 19:04:21.788096;annex_i_7_4;Implement appropriate (e.g. centralised) systems and controls to allow, manage, log and monitor privileged/super user/administrative access to critical systems (servers/databases, applications, network devices etc.);;;;aws;;PASS;Trail research-trail is multiregion and it is logging.;arn:aws:cloudtrail:us-east-1:350381001508:trail/research-trail;cloudtrail_multi_region_enabled;False;research-trail;RBI-Cyber-Security-Framework;Reserve Bank of India (RBI) Cyber Security Framework;
